name,from,from_adm2,from_adm1,from_adm0,to,to_adm2,to_adm1,to_adm0,to_adm2_w_space,weight,male_under18,male_18to60,male_over60,female_under18,female_18to60,female_over60,
Mocimboa Da Praia-Namuno,Mocimboa Da Praia,Mocimboa Da Praia,adm380,MOZ,Namuno_,Namuno,adm380,MOZ,Namuno_,,,,,,,,
Mocimboa Da Praia-Nangade,Mocimboa Da Praia,Mocimboa Da Praia,adm381,MOZ,Nangade_,Nangade,adm381,MOZ,Nangade_,,,,,,,,
Mocimboa Da Praia-Nipepe,Mocimboa Da Praia,Mocimboa Da Praia,adm382,MOZ,Nipepe_,Nipepe,adm382,MOZ,Nipepe_,,,,,,,,
Mocimboa Da Praia-Palma,Mocimboa Da Praia,Mocimboa Da Praia,adm383,MOZ,Palma_,Palma,adm383,MOZ,Palma_,,,,,,,,
Mocimboa Da Praia-Quissanga,Mocimboa Da Praia,Mocimboa Da Praia,adm384,MOZ,Quissanga_,Quissanga,adm384,MOZ,Quissanga_,,,,,,,,
Montepuez-Ancuabe,Montepuez,Montepuez,adm385,MOZ,Ancuabe_,Ancuabe,adm385,MOZ,Ancuabe_,,,,,,,,
Montepuez-Balama,Montepuez,Montepuez,adm386,MOZ,Balama_,Balama,adm386,MOZ,Balama_,,,,,,,,
Montepuez-Chiure,Montepuez,Montepuez,adm387,MOZ,Chiure_,Chiure,adm387,MOZ,Chiure_,,,,,,,,
Montepuez-Cidade De Pemba,Montepuez,Montepuez,adm388,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm388,MOZ,Cidade_De_Pemba_,,,,,,,,
Montepuez-Erati,Montepuez,Montepuez,adm389,MOZ,Erati_,Erati,adm389,MOZ,Erati_,,,,,,,,
Montepuez-Ibo,Montepuez,Montepuez,adm390,MOZ,Ibo_,Ibo,adm390,MOZ,Ibo_,,,,,,,,
Montepuez-Lalaua,Montepuez,Montepuez,adm391,MOZ,Lalaua_,Lalaua,adm391,MOZ,Lalaua_,,,,,,,,
Montepuez-Macomia,Montepuez,Montepuez,adm392,MOZ,Macomia_,Macomia,adm392,MOZ,Macomia_,,,,,,,,
Montepuez-Marrupa,Montepuez,Montepuez,adm393,MOZ,Marrupa_,Marrupa,adm393,MOZ,Marrupa_,,,,,,,,
Montepuez-Mecuburi,Montepuez,Montepuez,adm394,MOZ,Mecuburi_,Mecuburi,adm394,MOZ,Mecuburi_,,,,,,,,
Montepuez-Mecufi,Montepuez,Montepuez,adm395,MOZ,Mecufi_,Mecufi,adm395,MOZ,Mecufi_,,,,,,,,
Montepuez-Mecula,Montepuez,Montepuez,adm396,MOZ,Mecula_,Mecula,adm396,MOZ,Mecula_,,,,,,,,
Montepuez-Meluco,Montepuez,Montepuez,adm397,MOZ,Meluco_,Meluco,adm397,MOZ,Meluco_,,,,,,,,
Montepuez-Memba,Montepuez,Montepuez,adm398,MOZ,Memba_,Memba,adm398,MOZ,Memba_,,,,,,,,
Montepuez-Metuge,Montepuez,Montepuez,adm399,MOZ,Metuge_,Metuge,adm399,MOZ,Metuge_,,,,,,,,
Montepuez-Mocimboa Da Praia,Montepuez,Montepuez,adm400,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm400,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Montepuez-Montepuez,Montepuez,Montepuez,adm401,MOZ,Montepuez_,Montepuez,adm401,MOZ,Montepuez_,,,,,,,,
Montepuez-Mueda,Montepuez,Montepuez,adm402,MOZ,Mueda_,Mueda,adm402,MOZ,Mueda_,,,,,,,,
Montepuez-Muidumbe,Montepuez,Montepuez,adm403,MOZ,Muidumbe_,Muidumbe,adm403,MOZ,Muidumbe_,,,,,,,,
Montepuez-Namuno,Montepuez,Montepuez,adm404,MOZ,Namuno_,Namuno,adm404,MOZ,Namuno_,,,,,,,,
Montepuez-Nangade,Montepuez,Montepuez,adm405,MOZ,Nangade_,Nangade,adm405,MOZ,Nangade_,,,,,,,,
Montepuez-Nipepe,Montepuez,Montepuez,adm406,MOZ,Nipepe_,Nipepe,adm406,MOZ,Nipepe_,,,,,,,,
Montepuez-Palma,Montepuez,Montepuez,adm407,MOZ,Palma_,Palma,adm407,MOZ,Palma_,,,,,,,,
Montepuez-Quissanga,Montepuez,Montepuez,adm408,MOZ,Quissanga_,Quissanga,adm408,MOZ,Quissanga_,,,,,,,,
Mueda-Ancuabe,Mueda,Mueda,adm409,MOZ,Ancuabe_,Ancuabe,adm409,MOZ,Ancuabe_,21,3.15,4.2,3.15,3.15,4.2,3.15,
Mueda-Balama,Mueda,Mueda,adm410,MOZ,Balama_,Balama,adm410,MOZ,Balama_,25,3.75,5,3.75,3.75,5,3.75,
Mueda-Chiure,Mueda,Mueda,adm411,MOZ,Chiure_,Chiure,adm411,MOZ,Chiure_,39,5.85,7.8,5.85,5.85,7.8,5.85,
Mueda-Cidade De Pemba,Mueda,Mueda,adm412,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm412,MOZ,Cidade_De_Pemba_,40,6,8,6,6,8,6,
Mueda-Erati,Mueda,Mueda,adm413,MOZ,Erati_,Erati,adm413,MOZ,Erati_,32,4.8,6.4,4.8,4.8,6.4,4.8,
Mueda-Ibo,Mueda,Mueda,adm414,MOZ,Ibo_,Ibo,adm414,MOZ,Ibo_,2,0.3,0.4,0.3,0.3,0.4,0.3,
Mueda-Lalaua,Mueda,Mueda,adm415,MOZ,Lalaua_,Lalaua,adm415,MOZ,Lalaua_,4,0.6,0.8,0.6,0.6,0.8,0.6,
Mueda-Macomia,Mueda,Mueda,adm416,MOZ,Macomia_,Macomia,adm416,MOZ,Macomia_,14,2.1,2.8,2.1,2.1,2.8,2.1,
Mueda-Marrupa,Mueda,Mueda,adm417,MOZ,Marrupa_,Marrupa,adm417,MOZ,Marrupa_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Mueda-Mecuburi,Mueda,Mueda,adm418,MOZ,Mecuburi_,Mecuburi,adm418,MOZ,Mecuburi_,9,1.35,1.8,1.35,1.35,1.8,1.35,
Mueda-Mecufi,Mueda,Mueda,adm419,MOZ,Mecufi_,Mecufi,adm419,MOZ,Mecufi_,9,1.35,1.8,1.35,1.35,1.8,1.35,
Mueda-Mecula,Mueda,Mueda,adm420,MOZ,Mecula_,Mecula,adm420,MOZ,Mecula_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Mueda-Meluco,Mueda,Mueda,adm421,MOZ,Meluco_,Meluco,adm421,MOZ,Meluco_,4,0.6,0.8,0.6,0.6,0.8,0.6,
Mueda-Memba,Mueda,Mueda,adm422,MOZ,Memba_,Memba,adm422,MOZ,Memba_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Mueda-Metuge,Mueda,Mueda,adm423,MOZ,Metuge_,Metuge,adm423,MOZ,Metuge_,15,2.25,3,2.25,2.25,3,2.25,
Mueda-Mocimboa Da Praia,Mueda,Mueda,adm424,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm424,MOZ,Mocimboa_Da_Praia_,18,2.7,3.6,2.7,2.7,3.6,2.7,
Mueda-Montepuez,Mueda,Mueda,adm425,MOZ,Montepuez_,Montepuez,adm425,MOZ,Montepuez_,42,6.3,8.4,6.3,6.3,8.4,6.3,
Mueda-Mueda,Mueda,Mueda,adm426,MOZ,Mueda_,Mueda,adm426,MOZ,Mueda_,24,3.6,4.8,3.6,3.6,4.8,3.6,
Mueda-Muidumbe,Mueda,Mueda,adm427,MOZ,Muidumbe_,Muidumbe,adm427,MOZ,Muidumbe_,12,1.8,2.4,1.8,1.8,2.4,1.8,
Mueda-Namuno,Mueda,Mueda,adm428,MOZ,Namuno_,Namuno,adm428,MOZ,Namuno_,38,5.7,7.6,5.7,5.7,7.6,5.7,
Mueda-Nangade,Mueda,Mueda,adm429,MOZ,Nangade_,Nangade,adm429,MOZ,Nangade_,14,2.1,2.8,2.1,2.1,2.8,2.1,
Mueda-Nipepe,Mueda,Mueda,adm430,MOZ,Nipepe_,Nipepe,adm430,MOZ,Nipepe_,2,0.3,0.4,0.3,0.3,0.4,0.3,
Mueda-Palma,Mueda,Mueda,adm431,MOZ,Palma_,Palma,adm431,MOZ,Palma_,10,1.5,2,1.5,1.5,2,1.5,
Mueda-Quissanga,Mueda,Mueda,adm432,MOZ,Quissanga_,Quissanga,adm432,MOZ,Quissanga_,6,0.9,1.2,0.9,0.9,1.2,0.9,
Muidumbe-Ancuabe,Muidumbe,Muidumbe,adm433,MOZ,Ancuabe_,Ancuabe,adm433,MOZ,Ancuabe_,7,1.05,1.4,1.05,1.05,1.4,1.05,
Muidumbe-Balama,Muidumbe,Muidumbe,adm434,MOZ,Balama_,Balama,adm434,MOZ,Balama_,8,1.2,1.6,1.2,1.2,1.6,1.2,
Muidumbe-Chiure,Muidumbe,Muidumbe,adm435,MOZ,Chiure_,Chiure,adm435,MOZ,Chiure_,13,1.95,2.6,1.95,1.95,2.6,1.95,
Muidumbe-Cidade De Pemba,Muidumbe,Muidumbe,adm436,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm436,MOZ,Cidade_De_Pemba_,13,1.95,2.6,1.95,1.95,2.6,1.95,
Muidumbe-Erati,Muidumbe,Muidumbe,adm437,MOZ,Erati_,Erati,adm437,MOZ,Erati_,11,1.65,2.2,1.65,1.65,2.2,1.65,
Muidumbe-Ibo,Muidumbe,Muidumbe,adm438,MOZ,Ibo_,Ibo,adm438,MOZ,Ibo_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Muidumbe-Lalaua,Muidumbe,Muidumbe,adm439,MOZ,Lalaua_,Lalaua,adm439,MOZ,Lalaua_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Muidumbe-Macomia,Muidumbe,Muidumbe,adm440,MOZ,Macomia_,Macomia,adm440,MOZ,Macomia_,5,0.75,1,0.75,0.75,1,0.75,
Muidumbe-Marrupa,Muidumbe,Muidumbe,adm441,MOZ,Marrupa_,Marrupa,adm441,MOZ,Marrupa_,0,0,0,0,0,0,0,
Muidumbe-Mecuburi,Muidumbe,Muidumbe,adm442,MOZ,Mecuburi_,Mecuburi,adm442,MOZ,Mecuburi_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Muidumbe-Mecufi,Muidumbe,Muidumbe,adm443,MOZ,Mecufi_,Mecufi,adm443,MOZ,Mecufi_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Muidumbe-Mecula,Muidumbe,Muidumbe,adm444,MOZ,Mecula_,Mecula,adm444,MOZ,Mecula_,0,0,0,0,0,0,0,
Muidumbe-Meluco,Muidumbe,Muidumbe,adm445,MOZ,Meluco_,Meluco,adm445,MOZ,Meluco_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Muidumbe-Memba,Muidumbe,Muidumbe,adm446,MOZ,Memba_,Memba,adm446,MOZ,Memba_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Muidumbe-Metuge,Muidumbe,Muidumbe,adm447,MOZ,Metuge_,Metuge,adm447,MOZ,Metuge_,5,0.75,1,0.75,0.75,1,0.75,
Muidumbe-Mocimboa Da Praia,Muidumbe,Muidumbe,adm448,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm448,MOZ,Mocimboa_Da_Praia_,6,0.9,1.2,0.9,0.9,1.2,0.9,
Muidumbe-Montepuez,Muidumbe,Muidumbe,adm449,MOZ,Montepuez_,Montepuez,adm449,MOZ,Montepuez_,14,2.1,2.8,2.1,2.1,2.8,2.1,
Muidumbe-Mueda,Muidumbe,Muidumbe,adm450,MOZ,Mueda_,Mueda,adm450,MOZ,Mueda_,8,1.2,1.6,1.2,1.2,1.6,1.2,
Muidumbe-Muidumbe,Muidumbe,Muidumbe,adm451,MOZ,Muidumbe_,Muidumbe,adm451,MOZ,Muidumbe_,4,0.6,0.8,0.6,0.6,0.8,0.6,
Muidumbe-Namuno,Muidumbe,Muidumbe,adm452,MOZ,Namuno_,Namuno,adm452,MOZ,Namuno_,13,1.95,2.6,1.95,1.95,2.6,1.95,
Muidumbe-Nangade,Muidumbe,Muidumbe,adm453,MOZ,Nangade_,Nangade,adm453,MOZ,Nangade_,5,0.75,1,0.75,0.75,1,0.75,
Muidumbe-Nipepe,Muidumbe,Muidumbe,adm454,MOZ,Nipepe_,Nipepe,adm454,MOZ,Nipepe_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Muidumbe-Palma,Muidumbe,Muidumbe,adm455,MOZ,Palma_,Palma,adm455,MOZ,Palma_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Muidumbe-Quissanga,Muidumbe,Muidumbe,adm456,MOZ,Quissanga_,Quissanga,adm456,MOZ,Quissanga_,2,0.3,0.4,0.3,0.3,0.4,0.3,
Namuno-Ancuabe,Namuno,Namuno,adm457,MOZ,Ancuabe_,Ancuabe,adm457,MOZ,Ancuabe_,,,,,,,,
Namuno-Balama,Namuno,Namuno,adm458,MOZ,Balama_,Balama,adm458,MOZ,Balama_,,,,,,,,
Namuno-Chiure,Namuno,Namuno,adm459,MOZ,Chiure_,Chiure,adm459,MOZ,Chiure_,,,,,,,,
Namuno-Cidade De Pemba,Namuno,Namuno,adm460,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm460,MOZ,Cidade_De_Pemba_,,,,,,,,
Namuno-Erati,Namuno,Namuno,adm461,MOZ,Erati_,Erati,adm461,MOZ,Erati_,,,,,,,,
Namuno-Ibo,Namuno,Namuno,adm462,MOZ,Ibo_,Ibo,adm462,MOZ,Ibo_,,,,,,,,
Namuno-Lalaua,Namuno,Namuno,adm463,MOZ,Lalaua_,Lalaua,adm463,MOZ,Lalaua_,,,,,,,,
Namuno-Macomia,Namuno,Namuno,adm464,MOZ,Macomia_,Macomia,adm464,MOZ,Macomia_,,,,,,,,
Namuno-Marrupa,Namuno,Namuno,adm465,MOZ,Marrupa_,Marrupa,adm465,MOZ,Marrupa_,,,,,,,,
Namuno-Mecuburi,Namuno,Namuno,adm466,MOZ,Mecuburi_,Mecuburi,adm466,MOZ,Mecuburi_,,,,,,,,
Namuno-Mecufi,Namuno,Namuno,adm467,MOZ,Mecufi_,Mecufi,adm467,MOZ,Mecufi_,,,,,,,,
Namuno-Mecula,Namuno,Namuno,adm468,MOZ,Mecula_,Mecula,adm468,MOZ,Mecula_,,,,,,,,
Namuno-Meluco,Namuno,Namuno,adm469,MOZ,Meluco_,Meluco,adm469,MOZ,Meluco_,,,,,,,,
Namuno-Memba,Namuno,Namuno,adm470,MOZ,Memba_,Memba,adm470,MOZ,Memba_,,,,,,,,
Namuno-Metuge,Namuno,Namuno,adm471,MOZ,Metuge_,Metuge,adm471,MOZ,Metuge_,,,,,,,,
Namuno-Mocimboa Da Praia,Namuno,Namuno,adm472,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm472,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Namuno-Montepuez,Namuno,Namuno,adm473,MOZ,Montepuez_,Montepuez,adm473,MOZ,Montepuez_,,,,,,,,
Namuno-Mueda,Namuno,Namuno,adm474,MOZ,Mueda_,Mueda,adm474,MOZ,Mueda_,,,,,,,,
Namuno-Muidumbe,Namuno,Namuno,adm475,MOZ,Muidumbe_,Muidumbe,adm475,MOZ,Muidumbe_,,,,,,,,
Namuno-Namuno,Namuno,Namuno,adm476,MOZ,Namuno_,Namuno,adm476,MOZ,Namuno_,,,,,,,,
Namuno-Nangade,Namuno,Namuno,adm477,MOZ,Nangade_,Nangade,adm477,MOZ,Nangade_,,,,,,,,
Namuno-Nipepe,Namuno,Namuno,adm478,MOZ,Nipepe_,Nipepe,adm478,MOZ,Nipepe_,,,,,,,,
Namuno-Palma,Namuno,Namuno,adm479,MOZ,Palma_,Palma,adm479,MOZ,Palma_,,,,,,,,
Namuno-Quissanga,Namuno,Namuno,adm480,MOZ,Quissanga_,Quissanga,adm480,MOZ,Quissanga_,,,,,,,,
Nangade-Ancuabe,Nangade,Nangade,adm481,MOZ,Ancuabe_,Ancuabe,adm481,MOZ,Ancuabe_,,,,,,,,
Nangade-Balama,Nangade,Nangade,adm482,MOZ,Balama_,Balama,adm482,MOZ,Balama_,,,,,,,,
Nangade-Chiure,Nangade,Nangade,adm483,MOZ,Chiure_,Chiure,adm483,MOZ,Chiure_,,,,,,,,
Nangade-Cidade De Pemba,Nangade,Nangade,adm484,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm484,MOZ,Cidade_De_Pemba_,,,,,,,,
Nangade-Erati,Nangade,Nangade,adm485,MOZ,Erati_,Erati,adm485,MOZ,Erati_,,,,,,,,
Nangade-Ibo,Nangade,Nangade,adm486,MOZ,Ibo_,Ibo,adm486,MOZ,Ibo_,,,,,,,,
Nangade-Lalaua,Nangade,Nangade,adm487,MOZ,Lalaua_,Lalaua,adm487,MOZ,Lalaua_,,,,,,,,
Nangade-Macomia,Nangade,Nangade,adm488,MOZ,Macomia_,Macomia,adm488,MOZ,Macomia_,,,,,,,,
Nangade-Marrupa,Nangade,Nangade,adm489,MOZ,Marrupa_,Marrupa,adm489,MOZ,Marrupa_,,,,,,,,
Nangade-Mecuburi,Nangade,Nangade,adm490,MOZ,Mecuburi_,Mecuburi,adm490,MOZ,Mecuburi_,,,,,,,,
Nangade-Mecufi,Nangade,Nangade,adm491,MOZ,Mecufi_,Mecufi,adm491,MOZ,Mecufi_,,,,,,,,
Nangade-Mecula,Nangade,Nangade,adm492,MOZ,Mecula_,Mecula,adm492,MOZ,Mecula_,,,,,,,,
Nangade-Meluco,Nangade,Nangade,adm493,MOZ,Meluco_,Meluco,adm493,MOZ,Meluco_,,,,,,,,
Nangade-Memba,Nangade,Nangade,adm494,MOZ,Memba_,Memba,adm494,MOZ,Memba_,,,,,,,,
Nangade-Metuge,Nangade,Nangade,adm495,MOZ,Metuge_,Metuge,adm495,MOZ,Metuge_,,,,,,,,
Nangade-Mocimboa Da Praia,Nangade,Nangade,adm496,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm496,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Nangade-Montepuez,Nangade,Nangade,adm497,MOZ,Montepuez_,Montepuez,adm497,MOZ,Montepuez_,,,,,,,,
Nangade-Mueda,Nangade,Nangade,adm498,MOZ,Mueda_,Mueda,adm498,MOZ,Mueda_,,,,,,,,
Nangade-Muidumbe,Nangade,Nangade,adm499,MOZ,Muidumbe_,Muidumbe,adm499,MOZ,Muidumbe_,,,,,,,,
Nangade-Namuno,Nangade,Nangade,adm500,MOZ,Namuno_,Namuno,adm500,MOZ,Namuno_,,,,,,,,
Nangade-Nangade,Nangade,Nangade,adm501,MOZ,Nangade_,Nangade,adm501,MOZ,Nangade_,,,,,,,,
Nangade-Nipepe,Nangade,Nangade,adm502,MOZ,Nipepe_,Nipepe,adm502,MOZ,Nipepe_,,,,,,,,
Nangade-Palma,Nangade,Nangade,adm503,MOZ,Palma_,Palma,adm503,MOZ,Palma_,,,,,,,,
Nangade-Quissanga,Nangade,Nangade,adm504,MOZ,Quissanga_,Quissanga,adm504,MOZ,Quissanga_,,,,,,,,
Nipepe-Ancuabe,Nipepe,Nipepe,adm505,MOZ,Ancuabe_,Ancuabe,adm505,MOZ,Ancuabe_,,,,,,,,
Nipepe-Balama,Nipepe,Nipepe,adm506,MOZ,Balama_,Balama,adm506,MOZ,Balama_,,,,,,,,
Nipepe-Chiure,Nipepe,Nipepe,adm507,MOZ,Chiure_,Chiure,adm507,MOZ,Chiure_,,,,,,,,
Nipepe-Cidade De Pemba,Nipepe,Nipepe,adm508,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm508,MOZ,Cidade_De_Pemba_,,,,,,,,
Nipepe-Erati,Nipepe,Nipepe,adm509,MOZ,Erati_,Erati,adm509,MOZ,Erati_,,,,,,,,
Nipepe-Ibo,Nipepe,Nipepe,adm510,MOZ,Ibo_,Ibo,adm510,MOZ,Ibo_,,,,,,,,
Nipepe-Lalaua,Nipepe,Nipepe,adm511,MOZ,Lalaua_,Lalaua,adm511,MOZ,Lalaua_,,,,,,,,
Nipepe-Macomia,Nipepe,Nipepe,adm512,MOZ,Macomia_,Macomia,adm512,MOZ,Macomia_,,,,,,,,
Nipepe-Marrupa,Nipepe,Nipepe,adm513,MOZ,Marrupa_,Marrupa,adm513,MOZ,Marrupa_,,,,,,,,
Nipepe-Mecuburi,Nipepe,Nipepe,adm514,MOZ,Mecuburi_,Mecuburi,adm514,MOZ,Mecuburi_,,,,,,,,
Nipepe-Mecufi,Nipepe,Nipepe,adm515,MOZ,Mecufi_,Mecufi,adm515,MOZ,Mecufi_,,,,,,,,
Nipepe-Mecula,Nipepe,Nipepe,adm516,MOZ,Mecula_,Mecula,adm516,MOZ,Mecula_,,,,,,,,
Nipepe-Meluco,Nipepe,Nipepe,adm517,MOZ,Meluco_,Meluco,adm517,MOZ,Meluco_,,,,,,,,
Nipepe-Memba,Nipepe,Nipepe,adm518,MOZ,Memba_,Memba,adm518,MOZ,Memba_,,,,,,,,
Nipepe-Metuge,Nipepe,Nipepe,adm519,MOZ,Metuge_,Metuge,adm519,MOZ,Metuge_,,,,,,,,
Nipepe-Mocimboa Da Praia,Nipepe,Nipepe,adm520,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm520,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Nipepe-Montepuez,Nipepe,Nipepe,adm521,MOZ,Montepuez_,Montepuez,adm521,MOZ,Montepuez_,,,,,,,,
Nipepe-Mueda,Nipepe,Nipepe,adm522,MOZ,Mueda_,Mueda,adm522,MOZ,Mueda_,,,,,,,,
Nipepe-Muidumbe,Nipepe,Nipepe,adm523,MOZ,Muidumbe_,Muidumbe,adm523,MOZ,Muidumbe_,,,,,,,,
Nipepe-Namuno,Nipepe,Nipepe,adm524,MOZ,Namuno_,Namuno,adm524,MOZ,Namuno_,,,,,,,,
Nipepe-Nangade,Nipepe,Nipepe,adm525,MOZ,Nangade_,Nangade,adm525,MOZ,Nangade_,,,,,,,,
Nipepe-Nipepe,Nipepe,Nipepe,adm526,MOZ,Nipepe_,Nipepe,adm526,MOZ,Nipepe_,,,,,,,,
Nipepe-Palma,Nipepe,Nipepe,adm527,MOZ,Palma_,Palma,adm527,MOZ,Palma_,,,,,,,,
Nipepe-Quissanga,Nipepe,Nipepe,adm528,MOZ,Quissanga_,Quissanga,adm528,MOZ,Quissanga_,,,,,,,,
Palma-Ancuabe,Palma,Palma,adm529,MOZ,Ancuabe_,Ancuabe,adm529,MOZ,Ancuabe_,,,,,,,,
Palma-Balama,Palma,Palma,adm530,MOZ,Balama_,Balama,adm530,MOZ,Balama_,,,,,,,,
Palma-Chiure,Palma,Palma,adm531,MOZ,Chiure_,Chiure,adm531,MOZ,Chiure_,,,,,,,,
Palma-Cidade De Pemba,Palma,Palma,adm532,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm532,MOZ,Cidade_De_Pemba_,,,,,,,,
Palma-Erati,Palma,Palma,adm533,MOZ,Erati_,Erati,adm533,MOZ,Erati_,,,,,,,,
Palma-Ibo,Palma,Palma,adm534,MOZ,Ibo_,Ibo,adm534,MOZ,Ibo_,,,,,,,,
Palma-Lalaua,Palma,Palma,adm535,MOZ,Lalaua_,Lalaua,adm535,MOZ,Lalaua_,,,,,,,,
Palma-Macomia,Palma,Palma,adm536,MOZ,Macomia_,Macomia,adm536,MOZ,Macomia_,,,,,,,,
Palma-Marrupa,Palma,Palma,adm537,MOZ,Marrupa_,Marrupa,adm537,MOZ,Marrupa_,,,,,,,,
Palma-Mecuburi,Palma,Palma,adm538,MOZ,Mecuburi_,Mecuburi,adm538,MOZ,Mecuburi_,,,,,,,,
Palma-Mecufi,Palma,Palma,adm539,MOZ,Mecufi_,Mecufi,adm539,MOZ,Mecufi_,,,,,,,,
Palma-Mecula,Palma,Palma,adm540,MOZ,Mecula_,Mecula,adm540,MOZ,Mecula_,,,,,,,,
Palma-Meluco,Palma,Palma,adm541,MOZ,Meluco_,Meluco,adm541,MOZ,Meluco_,,,,,,,,
Palma-Memba,Palma,Palma,adm542,MOZ,Memba_,Memba,adm542,MOZ,Memba_,,,,,,,,
Palma-Metuge,Palma,Palma,adm543,MOZ,Metuge_,Metuge,adm543,MOZ,Metuge_,,,,,,,,
Palma-Mocimboa Da Praia,Palma,Palma,adm544,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm544,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Palma-Montepuez,Palma,Palma,adm545,MOZ,Montepuez_,Montepuez,adm545,MOZ,Montepuez_,,,,,,,,
Palma-Mueda,Palma,Palma,adm546,MOZ,Mueda_,Mueda,adm546,MOZ,Mueda_,,,,,,,,
Palma-Muidumbe,Palma,Palma,adm547,MOZ,Muidumbe_,Muidumbe,adm547,MOZ,Muidumbe_,,,,,,,,
Palma-Namuno,Palma,Palma,adm548,MOZ,Namuno_,Namuno,adm548,MOZ,Namuno_,,,,,,,,
Palma-Nangade,Palma,Palma,adm549,MOZ,Nangade_,Nangade,adm549,MOZ,Nangade_,,,,,,,,
Palma-Nipepe,Palma,Palma,adm550,MOZ,Nipepe_,Nipepe,adm550,MOZ,Nipepe_,,,,,,,,
Palma-Palma,Palma,Palma,adm551,MOZ,Palma_,Palma,adm551,MOZ,Palma_,,,,,,,,
Palma-Quissanga,Palma,Palma,adm552,MOZ,Quissanga_,Quissanga,adm552,MOZ,Quissanga_,,,,,,,,
Quissanga-Ancuabe,Quissanga,Quissanga,adm553,MOZ,Ancuabe_,Ancuabe,adm553,MOZ,Ancuabe_,,,,,,,,
Quissanga-Balama,Quissanga,Quissanga,adm554,MOZ,Balama_,Balama,adm554,MOZ,Balama_,,,,,,,,
Quissanga-Chiure,Quissanga,Quissanga,adm555,MOZ,Chiure_,Chiure,adm555,MOZ,Chiure_,,,,,,,,
Quissanga-Cidade De Pemba,Quissanga,Quissanga,adm556,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm556,MOZ,Cidade_De_Pemba_,,,,,,,,
Quissanga-Erati,Quissanga,Quissanga,adm557,MOZ,Erati_,Erati,adm557,MOZ,Erati_,,,,,,,,
Quissanga-Ibo,Quissanga,Quissanga,adm558,MOZ,Ibo_,Ibo,adm558,MOZ,Ibo_,,,,,,,,
Quissanga-Lalaua,Quissanga,Quissanga,adm559,MOZ,Lalaua_,Lalaua,adm559,MOZ,Lalaua_,,,,,,,,
Quissanga-Macomia,Quissanga,Quissanga,adm560,MOZ,Macomia_,Macomia,adm560,MOZ,Macomia_,,,,,,,,
Quissanga-Marrupa,Quissanga,Quissanga,adm561,MOZ,Marrupa_,Marrupa,adm561,MOZ,Marrupa_,,,,,,,,
Quissanga-Mecuburi,Quissanga,Quissanga,adm562,MOZ,Mecuburi_,Mecuburi,adm562,MOZ,Mecuburi_,,,,,,,,
Quissanga-Mecufi,Quissanga,Quissanga,adm563,MOZ,Mecufi_,Mecufi,adm563,MOZ,Mecufi_,,,,,,,,
Quissanga-Mecula,Quissanga,Quissanga,adm564,MOZ,Mecula_,Mecula,adm564,MOZ,Mecula_,,,,,,,,
Quissanga-Meluco,Quissanga,Quissanga,adm565,MOZ,Meluco_,Meluco,adm565,MOZ,Meluco_,,,,,,,,
Quissanga-Memba,Quissanga,Quissanga,adm566,MOZ,Memba_,Memba,adm566,MOZ,Memba_,,,,,,,,
Quissanga-Metuge,Quissanga,Quissanga,adm567,MOZ,Metuge_,Metuge,adm567,MOZ,Metuge_,,,,,,,,
Quissanga-Mocimboa Da Praia,Quissanga,Quissanga,adm568,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm568,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Quissanga-Montepuez,Quissanga,Quissanga,adm569,MOZ,Montepuez_,Montepuez,adm569,MOZ,Montepuez_,,,,,,,,
